카메라 번호,주소,상세 설명,측정 시작 시간,측정 종료 시간,카메라 통과 인원 (IN),카메라 통과 인원 (OUT),데이터입력시간
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 3:10,2020-03-01 3:20,23,41,2020-03-01 3:20
2,계동길 69,계동교회 앞,2020-03-01 3:20,2020-03-01 3:30,50,54,2020-03-01 3:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 3:20,2020-03-01 3:30,69,27,2020-03-01 3:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 3:20,2020-03-01 3:30,58,26,2020-03-01 3:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 3:20,2020-03-01 3:30,23,41,2020-03-01 3:30
2,계동길 69,계동교회 앞,2020-03-01 3:30,2020-03-01 3:40,50,56,2020-03-01 3:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 3:30,2020-03-01 3:40,69,29,2020-03-01 3:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 3:30,2020-03-01 3:40,58,26,2020-03-01 3:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 3:30,2020-03-01 3:40,23,43,2020-03-01 3:40
2,계동길 69,계동교회 앞,2020-03-01 3:40,2020-03-01 3:50,53,56,2020-03-01 3:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 3:40,2020-03-01 3:50,69,30,2020-03-01 3:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 3:40,2020-03-01 3:50,60,26,2020-03-01 3:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 3:40,2020-03-01 3:50,23,43,2020-03-01 3:50
2,계동길 69,계동교회 앞,2020-03-01 3:50,2020-03-01 4:00,53,56,2020-03-01 4:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 3:50,2020-03-01 4:00,69,30,2020-03-01 4:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 3:50,2020-03-01 4:00,64,29,2020-03-01 4:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 3:50,2020-03-01 4:00,23,43,2020-03-01 4:00
2,계동길 69,계동교회 앞,2020-03-01 4:00,2020-03-01 4:10,53,56,2020-03-01 4:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 4:00,2020-03-01 4:10,69,30,2020-03-01 4:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 4:00,2020-03-01 4:10,64,29,2020-03-01 4:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 4:00,2020-03-01 4:10,27,43,2020-03-01 4:10
2,계동길 69,계동교회 앞,2020-03-01 4:10,2020-03-01 4:20,53,57,2020-03-01 4:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 4:10,2020-03-01 4:20,69,30,2020-03-01 4:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 4:10,2020-03-01 4:20,64,29,2020-03-01 4:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 4:10,2020-03-01 4:20,29,50,2020-03-01 4:20
2,계동길 69,계동교회 앞,2020-03-01 4:20,2020-03-01 4:30,53,57,2020-03-01 4:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 4:20,2020-03-01 4:30,70,30,2020-03-01 4:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 4:20,2020-03-01 4:30,64,29,2020-03-01 4:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 4:20,2020-03-01 4:30,29,50,2020-03-01 4:30
2,계동길 69,계동교회 앞,2020-03-01 4:30,2020-03-01 4:40,53,63,2020-03-01 4:40
