BASE_YEAR,BASE_MONTH,GU_DC,AGE_DC,MV_CNT
2019,5,서구,60대,1237
2019,5,서구,70대,1113
2019,5,수영구,10대,2690
2019,5,수영구,20대,2320
2019,5,수영구,30대,2587
2019,5,수영구,40대,2667
2019,5,수영구,50대,2910
2019,5,수영구,60대,2335
2019,5,수영구,70대,1842
2019,5,연제구,10대,3023
2019,5,연제구,20대,2115
2019,5,연제구,30대,2505
2019,5,연제구,40대,2915
2019,5,연제구,50대,3064
2019,5,연제구,60대,2181
2019,5,연제구,70대,1632
2019,5,영도구,10대,1665
2019,5,영도구,20대,1445
2019,5,영도구,30대,1309
2019,5,영도구,40대,1611
2019,5,영도구,50대,1947
2019,5,영도구,60대,1620
2019,5,영도구,70대,1450
2019,5,중구,10대,951
2019,5,중구,20대,1263
2019,5,중구,30대,1346
2019,5,중구,40대,1485
2019,5,중구,50대,1646
2019,5,중구,60대,1256
2019,5,중구,70대,988
2019,5,해운대구,10대,4780
2019,5,해운대구,20대,3005
2019,5,해운대구,30대,3479
2019,5,해운대구,40대,4254
2019,5,해운대구,50대,3969
2019,5,해운대구,60대,2545
2019,5,해운대구,70대,2045
2019,6,강서구,10대,2446
2019,6,강서구,20대,1969
2019,6,강서구,30대,3753
2019,6,강서구,40대,3124
2019,6,강서구,50대,3066
2019,6,강서구,60대,1684
2019,6,강서구,70대,963
2019,6,금정구,10대,2496
2019,6,금정구,20대,2485
2019,6,금정구,30대,1825
2019,6,금정구,40대,2197
2019,6,금정구,50대,2591
2019,6,금정구,60대,1808
2019,6,금정구,70대,1415
2019,6,기장군,10대,7121
2019,6,기장군,20대,3115
2019,6,기장군,30대,6026
2019,6,기장군,40대,5706
2019,6,기장군,50대,4865
2019,6,기장군,60대,3426
2019,6,기장군,70대,2786
2019,6,남구,10대,2953
2019,6,남구,20대,2397
2019,6,남구,30대,2119
2019,6,남구,40대,2520
2019,6,남구,50대,2542
2019,6,남구,60대,1932
2019,6,남구,70대,1577
2019,6,동구,10대,1005
2019,6,동구,20대,1012
2019,6,동구,30대,1205
2019,6,동구,40대,1368
2019,6,동구,50대,1601
2019,6,동구,60대,1260
2019,6,동구,70대,1072
2019,6,동래구,10대,3925
2019,6,동래구,20대,2580
2019,6,동래구,30대,2833
2019,6,동래구,40대,3437
2019,6,동래구,50대,3684
2019,6,동래구,60대,2644
2019,6,동래구,70대,1978
2019,6,부산진구,10대,3199
2019,6,부산진구,20대,3285
2019,6,부산진구,30대,2988
2019,6,부산진구,40대,3068
2019,6,부산진구,50대,3328
2019,6,부산진구,60대,2413
